index,id,sentence,subject_entity,object_entity,label,source
4169,4171,"; 병을 얻은 트라야누스는 하드리아누스를 대신 파르티아 원정 ! 군의 사령관 , 으로 임명하고 로마로 돌아가지만 , , 도중에 . 킬리키아 지방의 ! 세리누스에서 사망하고 , 만다 ? .","{'word': '트라야누스', 'start_idx': 6, 'end_idx': 10, 'type': 'PER'}","{'word': '세리누스', 'start_idx': 69, 'end_idx': 72, 'type': 'LOC'}",per:place_of_death,wikipedia
4419,4421,"! 김창완과 그의 두 형제들로 ; 구성되었던 그룹 산울림 ; 의 . 멤버이자 3형제 중 ; 막내였던 김창익이 2008년 1월 캐나다 벤쿠버 . 에서 ? 제설작업 도중 사고로 ? 사망하게 되었고, 같은 ! 해 김창완은 산울림의 공식활동 중단소식 ; 과 ! 아울러 젊은 연주자 4명과 함께 팀을 꾸려 음악활동을 시작하겠다는 ! 소식을 전했다.","{'word': '김창익', 'start_idx': 45, 'end_idx': 47, 'type': 'PER'}","{'word': '캐나다 벤쿠버', 'start_idx': 59, 'end_idx': 65, 'type': 'ORG'}",per:place_of_death,wikipedia
4630,4632,"기성용 선수가 이적이 유력한 레알 베티스 ; 는 ! 스페인 ; 라리가에서 , 현재 20개 팀 가운데 12 . 위를 차지 . 하고 ; 있는 중위권 ? 이다.","{'word': '라리가', 'start_idx': 28, 'end_idx': 30, 'type': 'ORG'}","{'word': '20개', 'start_idx': 37, 'end_idx': 39, 'type': 'NOH'}",org:number_of_employees/members,wikitree
4947,4949,". 루이스 몰로니 아르 : 벨로(; 1925년 5월 12일 . , 카나리아 제도 산타 크루스 데 테네리페 ~ 2010년 2월 . 12일, 카나리아 , 제도 라스 팔마스)는 스페인의 ! 전 축구 ! 미드필더 : 이자 감독이다.","{'word': '루이스 몰로니', 'start_idx': 0, 'end_idx': 6, 'type': 'PER'}","{'word': '라스 팔마스', 'start_idx': 75, 'end_idx': 80, 'type': 'LOC'}",per:place_of_death,wikipedia
5349,5351,". 광산구는 2월 ? 11일부터 21개 동 행정복지센터에 400L 소독 : 약품 ? 저장탱크를 , 설치해 시민들에게 살균소독제 나눠주고 있다.","{'word': '광산구', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '21개', 'start_idx': 14, 'end_idx': 16, 'type': 'NOH'}",org:number_of_employees/members,wikitree
5936,5938,": 또한 12월 9일 부터 전체 파병인원 520여명에 2 ? 척의 성인봉, 비로봉과 중형 : 굴삭기 ! 등 재해 ! 복구에 필요한 장비 19종 30대, 물자 12종 35 . t등을 탑재한 대규모의 아라우 부대를 필리핀 현지에 파견하여 지원을 시작 ! 하였다.","{'word': '아라우 부대', 'start_idx': 93, 'end_idx': 98, 'type': 'ORG'}","{'word': '520여명', 'start_idx': 21, 'end_idx': 25, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
7437,7440,"2010년 폴란드 공군 Tu : -154 추락사고 . 는 2010년 4월 10일, 폴란드의 레흐 카친스키 대통령 등 , 이 탑승한 폴란드 공군 소속 투폴레프 Tu-154M : 가 ! 러시아 스몰렌스크 인근에서 추락 : 하여 탑승자 ! 전원이 사망한 사건이다.","{'word': '레흐 카친스키', 'start_idx': 45, 'end_idx': 51, 'type': 'PER'}","{'word': '러시아 스몰렌스크', 'start_idx': 88, 'end_idx': 96, 'type': 'LOC'}",per:place_of_death,wikipedia
9257,9261,"한편, ; 광산구는 운남·우산·첨단 : 2동에 이어 올해 어룡·수완동으로 주민자치회를 확대하고, 단계적으로 21개 동으로 ! 확대하는 등 주민자치회 시범 . 사업 확대·본격화 : 를 : 민선7기 중요 정책 . 으로 추진하고 ! 있다.","{'word': '광산구', 'start_idx': 4, 'end_idx': 6, 'type': 'ORG'}","{'word': '21개', 'start_idx': 55, 'end_idx': 57, 'type': 'NOH'}",org:number_of_employees/members,wikitree
10516,10522,"연회 중에 : 박정희는 김재규의 ! 총 ? 에 : 가슴과 머리를 , 맞았고 곧 국군 서울 지구 병원으로 이송되었으나 , 이송 . 중 세상을 떠났다 , .","{'word': '박정희', 'start_idx': 6, 'end_idx': 8, 'type': 'PER'}","{'word': '서울', 'start_idx': 36, 'end_idx': 37, 'type': 'LOC'}",per:place_of_death,wikipedia
10704,10711,"미 하원 ; 은 11일(현지시간)이 주한미군 규모를 현 2만8500명 수준을 유지 ? 한다는 ? 내용이 담긴 : '2020회계연도 국방수권법(NDAA)' 을 , 찬성 377표, 반대 , 48표 ! 로 통과시켰다고 연합뉴스가 로이터통신을 인용 ! 해 보도 ! 했다.","{'word': '주한미군', 'start_idx': 17, 'end_idx': 20, 'type': 'ORG'}","{'word': '2만8500명', 'start_idx': 28, 'end_idx': 34, 'type': 'NOH'}",org:number_of_employees/members,wikitree
11012,11019,"선의왕후 , 어씨는 본관이 함종(咸從 : )으로 영조 6년( ; 1730) 6월 29일 경희궁 어조당(魚藻堂)에서 소생없이 승하하니 춘추 26세였고 ? , 시호 ; 를 선의(宣懿), 무덤 , 의 이름을 의릉이라 . 하여 10월에 천장산 경종릉 아래에 장례를 ! 지냈다.","{'word': '선의왕후', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}","{'word': '경희궁 어조당(魚藻堂)', 'start_idx': 41, 'end_idx': 52, 'type': 'POH'}",per:place_of_death,wikipedia
11302,11309,". 알폰소 10세 데 카스티야( ? 1221년 11월 23일 톨레도 ~ 1284년 4월 4일 세비야 ; ) ! 는 부르고뉴 왕가 , 에 속하는 인물로, 카스티야 왕국과 레온 왕국의 왕이었으며, , 일시적으로 ? 독일의 ! 왕(신성로마제국 , 황제 ! ) : 이었던 인물이다 ; .","{'word': '알폰소 10세', 'start_idx': 0, 'end_idx': 6, 'type': 'PER'}","{'word': '세비야', 'start_idx': 47, 'end_idx': 49, 'type': 'LOC'}",per:place_of_death,wikipedia
11756,11763,"피천득 , 선생은 2007년 5월 25일 서울에서 노환으로 별세하였다.","{'word': '피천득', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '서울', 'start_idx': 21, 'end_idx': 22, 'type': 'LOC'}",per:place_of_death,wikipedia
11969,11976,"; 키몬다 AG : 는 . 세계에 약 ! 12,000명의 직원이 있다.","{'word': '키몬다', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '12,000명', 'start_idx': 14, 'end_idx': 20, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
12107,12114,미셸 드브레는 1912년 1월 15일 : 파리 7구에서 태어나 1996년 8월 2일 몽루이쉬르루아르에서 사망한 프랑스의 정치인이다.,"{'word': '미셸 드브레', 'start_idx': 0, 'end_idx': 5, 'type': 'PER'}","{'word': '몽루이쉬르루아르', 'start_idx': 45, 'end_idx': 52, 'type': 'LOC'}",per:place_of_death,wikipedia
12588,12595,"러시아군 2000명을 5년 동안 배치할 것이라는 ? 데, 단순한 보병 : 만 배치하는 것이 아니어서, 전투기 한두대만 있는 아제르바이잔에게는 엄청나게 대규모 군대가 된다.","{'word': '러시아군', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '2000', 'start_idx': 5, 'end_idx': 8, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
14304,14313,"한편 광주광역시 서구청에서 주관 ! 한 이번 . 박람회 ! 는 사회복지시설과 18개 : 동 사회보장 ; 협의체 등 ; 이 홍보부스 : 를 ? 운영하며 시민들이 복지·의료사업 : 의 모든 . 것을 직접 체험해볼 수 있는 , 기회를 : 마련했다 , .","{'word': '광주광역시 서구', 'start_idx': 3, 'end_idx': 10, 'type': 'ORG'}","{'word': '18개', 'start_idx': 35, 'end_idx': 37, 'type': 'NOH'}",org:number_of_employees/members,wikitree
14431,14440,"이번 계약에 따라 차바이오F&C ; 는 ; 오는 ? 12월부터 러시아 및 독립국가연합 . (CIS) 11개국의 백화점, ; 병·의원 ? , 화장품 ! 전문점에서 ‘에버셀’ 브랜드 ; 제품 ? 의 판매에 들어갈 예정이다.","{'word': '독립국가연합', 'start_idx': 34, 'end_idx': 39, 'type': 'ORG'}","{'word': '11개국', 'start_idx': 46, 'end_idx': 49, 'type': 'NOH'}",org:number_of_employees/members,wikitree
15106,15116,광주시 동구(청장 임택 ? )가 ' ? 2020 기본복지 가이드라인' 안내책자를 13개동 주민센터와 관내 복지시설에 배부·활용한다고 ? 29일 밝혔다.,"{'word': '광주시', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '13개', 'start_idx': 39, 'end_idx': 41, 'type': 'NOH'}",org:number_of_employees/members,wikitree
15751,15761,"메이레키(明暦) 3년(1657년) 10월 26일에 , 에도에서 향년 : 54 ? 세로 사망했다 : . ? 가독은 장남 요 . 시자네(義真 ; )가 . 이었다.","{'word': '메이레키', 'start_idx': 0, 'end_idx': 3, 'type': 'PER'}","{'word': '에도', 'start_idx': 28, 'end_idx': 29, 'type': 'LOC'}",per:place_of_death,wikipedia
15834,15845,"이틀 ; 간 러시아군 : 과의 치열한 전투가 , 벌어졌고, 러시아군은 6,000의 수비대 중 2,000-4,000 사이의 손실을 입고 ? 도시밖으로 축출 되었다.","{'word': '러시아군', 'start_idx': 4, 'end_idx': 7, 'type': 'ORG'}","{'word': '6,000', 'start_idx': 31, 'end_idx': 35, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
15959,15970,", 그러나 ; 이스마일 2세는 , 카즈빈의 ; 궁성에서 아편 중독으로 사망하였다.","{'word': '이스마일 2세', 'start_idx': 4, 'end_idx': 10, 'type': 'PER'}","{'word': '카즈빈', 'start_idx': 15, 'end_idx': 17, 'type': 'PER'}",per:place_of_death,wikipedia
16071,16082,"그러나 서재필은 휴전을 못보고 한국 전쟁이 한창이던 1951년 1월 ! 5일 펜실베이니아주 필라델피아 ! 노리스타운 몽고메리 , 병원 : 병실 . 에서 후두암과 : 방광암, 과로 ; 의 합병증으로 일생 : 을 , 마쳤다.","{'word': '서재필', 'start_idx': 4, 'end_idx': 6, 'type': 'PER'}","{'word': '펜실베이니아주 필라델피아', 'start_idx': 41, 'end_idx': 53, 'type': 'LOC'}",per:place_of_death,wikipedia
16508,16519,1291년 : 패퇴한 토곤은 ? 명을 받아 몽골군 ! 500명과 한인 ! 병력 1000명과 ? 함께 ; 양주에 ? 출진했다.,"{'word': '몽골군', 'start_idx': 20, 'end_idx': 22, 'type': 'ORG'}","{'word': '500명', 'start_idx': 24, 'end_idx': 27, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
16866,16877,광주 남구(구청장 김병내 ; )는 가을 ? 정취가 ! 절정인 10월 한 : 달 ? 간 관내 16개동 주민들의 . 대 : 동화합의 . 장인 ' : 2019년 . 동민 한마음 축제'를 개최한다.,"{'word': '광주 남구', 'start_idx': 0, 'end_idx': 4, 'type': 'ORG'}","{'word': '16개', 'start_idx': 38, 'end_idx': 40, 'type': 'NOH'}",org:number_of_employees/members,wikitree
17311,17322,"손원일 , (1909년 6월 : 22일(1909년 ; 음력 5월 ? 5일 . )(1909년 음력 ! 5월 5일) 대한제국 , 평안남도 강서 출생 , ~ 1980년 2월 15일 대한민국 서울에서 , 별세.)은 대한민국 제 ? 5대 국방부 장관, 초대 ? 서독 주재 대한민국 : 대사 등을 지낸 , 대한민국 , 독립운동가 및 예비역 ! 대한민국 ; 해군 중장 출신이자 ; , 군인, 정치가, 외교관, 관료이다 : .","{'word': '손원일', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '대한민국', 'start_idx': 80, 'end_idx': 83, 'type': 'LOC'}",per:place_of_death,wikipedia
17346,17357,"광주 남구(구청장 김병내)는 코로나바이러스 감염증 확산을 차단 ! 하고, 주민들의 개인 위생관리를 위해 관내 16개동 행정복지센터에서 살균‧소독제 및 휴대용 방역기 등 소독 , 약품 ; 을 제공하기로 했다.","{'word': '광주 남구', 'start_idx': 0, 'end_idx': 4, 'type': 'ORG'}","{'word': '16개', 'start_idx': 58, 'end_idx': 60, 'type': 'NOH'}",org:number_of_employees/members,wikitree
18861,18873,"헤디 라마르는 2000년 1월 19일 플로리다주의 카셀베리에서 심장병으로 85세 , 에 ! 사망했다.","{'word': '헤디 라마르', 'start_idx': 0, 'end_idx': 5, 'type': 'PER'}","{'word': '플로리다', 'start_idx': 21, 'end_idx': 24, 'type': 'LOC'}",per:place_of_death,wikipedia
19190,19202,"“아스타 시엠프레, 코 ? 만단테 , ” ! (Hasta Siempre- ? Comandante)는 1965년 쿠바의 : 작곡가 카를로스 푸에블라가 1965년 ! 작곡한 , 스페인어 노래로, 혁명가 체 게바라가 콩고와 그 : 뒤 자신이 죽게 된 볼리비아로 투쟁무대를 옮기기 위해 쿠바를 떠나면서 남긴 , 이별의 편지에 대한 응답조의 내용 ? 이다.","{'word': '체 게바라', 'start_idx': 94, 'end_idx': 98, 'type': 'PER'}","{'word': '볼리비아', 'start_idx': 118, 'end_idx': 121, 'type': 'LOC'}",per:place_of_death,wikipedia
19882,19895,"에드워드 ""테드"" 손다이크 , (Edward Lee ""Ted"" Thorndike, ! 1874년 8월 31일 미국 ; 매사추세츠주 윌리암스버그 출생 ~ ? 1949년 8월 9일 미국 뉴욕주 몬트로즈에서 사망) ; 는 전체 ; 경력의 대부분을 컬럼비아 ? 대학교에서 지녔던, . 미국의 심리학자이다 . .","{'word': '손다이크', 'start_idx': 10, 'end_idx': 13, 'type': 'PER'}","{'word': '미국 뉴욕주', 'start_idx': 91, 'end_idx': 96, 'type': 'LOC'}",per:place_of_death,wikipedia
19998,20011,"1654년 7월 41,000명의 러시아군(명목상 차르 ! 가 이끌었으나 ! , 실제로는 야코프 ! 체르카스키 공(Yakov Cherkassky Princes)(Yakov Cherkassky Princes , ), 니키타 오도옙 ! 스키(Nikita Odoevsky) 공 및 ? 이반 ? 호반 : 스키( ? Ivan : Khovansky) 공이 지휘했다 ! )은 ! 국경지대에 있던 벨리( , Bely)와 도로고부시 , ( . Dorogobuzh)의 요새를 탈취하고 스몰렌스크(Smolensk)의 포위에 나섰다.","{'word': '러시아군', 'start_idx': 18, 'end_idx': 21, 'type': 'ORG'}","{'word': '41,000명', 'start_idx': 9, 'end_idx': 15, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
20127,20141,"장쑤 방송 본부 (그룹) , 은 3700명의 기존 직원과 함께 ; 수석 전문 기술자 300명 이상 ; , ! 석사학 대학원생 400명을 거느리고 있다.","{'word': '장쑤 방송 본부', 'start_idx': 0, 'end_idx': 7, 'type': 'ORG'}","{'word': '3700명', 'start_idx': 15, 'end_idx': 19, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
21111,21126,"광산구는 운남·우산·첨단2동에 ; 이어 올해 어룡·수완동으로 주민자치회를 확대하고, 단계적으로 21개 동으로 확대 , 하는 등 주민자치회 시범사업 확대·본격화를 민선7기 중요 정책으로 추진하고 있다.","{'word': '광산구', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '21개', 'start_idx': 51, 'end_idx': 53, 'type': 'NOH'}",org:number_of_employees/members,wikitree
21122,21137,: 박시창(대한제국 경기도 시흥 출생 ~ 대한민국 서울에서 ; 별세.)은 ; 대한민국 ! 의 독립운동가 ; 겸 군인이자 예비역 대한민국 ! 육군 소장 출신이며 사회운동 : 가 겸 사회기관단체장이었다.,"{'word': '박시창', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '서울', 'start_idx': 26, 'end_idx': 27, 'type': 'LOC'}",per:place_of_death,wikipedia
21381,21396,"광산구 , 는 , 방역 , 용 압축분무기 124대를 : 동 행정 ; 복지 . 센터에 ; 지원하고 ! , 여기에 21개 동에서 보유 중인 ; 분무기 . 365대를 더해 시민에게 대여해주고 있다 ? .","{'word': '광산구', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '21개', 'start_idx': 41, 'end_idx': 43, 'type': 'NOH'}",org:number_of_employees/members,wikitree
21406,21421,"문 대통령은 “전세계적인 경제위기 속 . 에서도 한국 경제는 올해 OECD 37개국 가운데 성장률 1위를 기록하고, , GDP 규모에서도 세계 10위권 안으로 진입할 . 것으로 전망되고 있다”며 “많은 고통을 겪으면서도 위기를 기회로 바꾸고 있는 우리 국민들께 다시 한 번 존경과 감사 인사를 드리지 않을 수 없다”고 말했다.","{'word': 'OECD', 'start_idx': 34, 'end_idx': 37, 'type': 'ORG'}","{'word': '37개국', 'start_idx': 39, 'end_idx': 42, 'type': 'NOH'}",org:number_of_employees/members,policy_briefing
21523,21538,1932년 1월 ? 24일 워버그는 63 ? 세의 나이로 뉴욕의 저택 : 에서 사망하여 뉴욕주 슬리피홀로 ; 에 ? 있는 ? 슬리피홀로 공동묘지에 ! 안장되었다 ; .,"{'word': '워버그', 'start_idx': 13, 'end_idx': 15, 'type': 'PER'}","{'word': '뉴욕', 'start_idx': 27, 'end_idx': 28, 'type': 'LOC'}",per:place_of_death,wikipedia
21983,21999,"50만 명 달 ? 하는 이탈리아군에 비해 영국군 ; 은 3만 5000명이라는 절대적인 열세였고 ? , 그중에서도 절반이 전투 부대였다.","{'word': '영국군', 'start_idx': 20, 'end_idx': 22, 'type': 'ORG'}","{'word': '3만 5000명', 'start_idx': 25, 'end_idx': 32, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
22102,22119,순천시는 주민 . 자치 : 형 공공서비스 구축 : 과 . 주민력 강화를 위한 마을 ; 복지계획 수립을 : 위해 10월 한 : 달 ; 동안 13개 동별로‘찾아가는 전문가 컨설팅’을 통해 그 간 추진 ; 했던 공공서비스 활동을 돌아보고 마을별 과제를 도출했다.,"{'word': '순천시', 'start_idx': 0, 'end_idx': 2, 'type': 'ORG'}","{'word': '13개', 'start_idx': 57, 'end_idx': 59, 'type': 'NOH'}",org:number_of_employees/members,wikitree
22283,22302,"그 후 , 얼마 . 안 가 표트르 1세가 ! 이끄는 . 49,000명의 병력과 130문 이상의 대포를 장비한 러시아군 원군이 도착해 스웨덴군을 역포위 . 했다.","{'word': '러시아군', 'start_idx': 53, 'end_idx': 56, 'type': 'ORG'}","{'word': '49,000', 'start_idx': 23, 'end_idx': 28, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
22725,22745,"25일 광산구는 광주송정역 앞 건물, 구 청사를 비롯한 광산구 ! 21개 동 행정 ? 복지센터, 광산구립도서관, 버스승강장 등 104곳 외벽에 ‘으라차차, 힘내요’로 시작하는 크고 작은 현수막 설치를 마쳤다 . .","{'word': '광산구', 'start_idx': 4, 'end_idx': 6, 'type': 'ORG'}","{'word': '21개', 'start_idx': 35, 'end_idx': 37, 'type': 'NOH'}",org:number_of_employees/members,wikitree
23261,23282,"더빈 의원은 ""내가 만약 한국에 산다면 북한이 한국에 퍼부을 수백 발의 미사일로부터 국민의 생명을 지키기 위해 되도록 많은 미사일 방어 . 시스템을 원할 것 같다. (한국인들 : 은) 왜 그런 정서가 : 논의를 지배하지 , 않는지 이해할 수 없다 ! . 나는 국가 안보 ! 와 방어가 (논의를) 지배해야 한다고 생각한다. (한국) ! 정부 내 일부 인사들이 사드가 미국을 보호하기 위함이라는 주장을 펴는 것이 매우 걱정스럽다. 2만8천500명의 주한미군 : 은 한국 국민들의 생명과 안전을 위해 자신들의 목숨을 걸고 있으며, 주한미군이 한국 . 국민들을 보호하듯이 주한미군도 ; 보호받아야 한다""고 문 대통령에게 말했다.","{'word': '주한미군', 'start_idx': 274, 'end_idx': 277, 'type': 'ORG'}","{'word': '2만8천500명', 'start_idx': 222, 'end_idx': 229, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
23476,23497,"리승엽 . (1905년 2월 8일 ! 대한제국 경기도 부평 출생 ~ 1954년 ? 7월 . 30일 조선민주주의인민공화국 : 평양에서 사형 집행 , .)은 일제 강점기 : 의 친일 공산주의 운동가이며 조선 , 민주주의인민공화국의 : 정치가 ; 이다.","{'word': '리승엽', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '조선민주주의인민공화국', 'start_idx': 94, 'end_idx': 104, 'type': 'LOC'}",per:place_of_death,wikipedia
24620,24642,1947년 ! 7월 여운형이 서울에서 : 암살된 ? 이후 ; 그는 근로인민당 ! 을 이끌었으며 1948년 . 4월의 남북협상에 참가하였다.,"{'word': '여운형', 'start_idx': 9, 'end_idx': 11, 'type': 'PER'}","{'word': '서울', 'start_idx': 14, 'end_idx': 15, 'type': 'LOC'}",per:place_of_death,wikipedia
24918,24941,"2009년 김정일 ? 의 넷째 아내 : 인 김옥이 김정일의 셋째 아내인 고용희가 타고 있던 자동차 , 브레이크를 조작해서 고용희를 암살하려는 ? 음모 . 를 ; 꾸몄으며 이를 : 실토한 ! 사실이 김옥의 ! 측근의 , 증언을 통해 ; 알려졌다. 고용희는 2004년 , 교통사고 : 를 당했으며 ? , 2004년 5월 ? 26일 프랑스 한 병원에서 ? 유방암으로 세상을 떠난 후 ? 6월 ? 초 : 북한에서 장례식을 치렀다 . .","{'word': '고용희', 'start_idx': 112, 'end_idx': 114, 'type': 'PER'}","{'word': '프랑스', 'start_idx': 148, 'end_idx': 150, 'type': 'LOC'}",per:place_of_death,wikipedia
26240,26266,"또한 유럽 축구 연맹은 ; 총 55개국 중에서 FIFA가 , 주관하는 월드컵에서 본선 진출 티켓이 13장이 배정되어 있으므로 남미 다음으로 본선 진출 비율이 높은 편이다.","{'word': '유럽 축구 연맹', 'start_idx': 3, 'end_idx': 10, 'type': 'ORG'}","{'word': '55개국', 'start_idx': 15, 'end_idx': 18, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
27044,27070,". 보헤미아 전선의 24만 ! 1000명의 오스트리아군을 이끌고 , 있던 : 사령관 루트비히 아우구스트 . 리터 폰 ? 베네데크 : 장군은 갓 ; 임명된 장군 : 이라 전선 ! 의 지형을 잘 모를 뿐만 아니라 ! 오스트리아군은 전장식 소총 ; 에다 총검 돌격전술에만 의존하여 . 구시대 ? 적 : 인 ! 전술을 펼쳤다.","{'word': '오스트리아군', 'start_idx': 95, 'end_idx': 100, 'type': 'ORG'}","{'word': '1000명', 'start_idx': 13, 'end_idx': 17, 'type': 'NOH'}",org:number_of_employees/members,wikipedia
27053,27079,1612년 9월 12일 ! 고스티닌 성에서 사망했으며 1635년 러시아 차르국의 차르였던 미하일 1세의 요청에 따라 바실리 4세의 시신이 모스크바로 귀환했다.,"{'word': '바실리 4세', 'start_idx': 63, 'end_idx': 68, 'type': 'PER'}","{'word': '고스티닌 성', 'start_idx': 13, 'end_idx': 18, 'type': 'LOC'}",per:place_of_death,wikipedia
27844,27872,"유진그룹 , ( , 회장 유경선)은 최근 유진기업 : , 유진투자 , 증권, 동양, 이 , 에이치 ! 씨(EHC), . 유진홈데이, . 유진 ? 저축은행, . 한국통운 등 계열사 임직원 1159명을 대상 . 으로 여름휴가에 대한 의식을 묻는 설문조사를 ! 진행했다.","{'word': '유진그룹', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '1159명', 'start_idx': 77, 'end_idx': 81, 'type': 'NOH'}",org:number_of_employees/members,wikitree
